id,drug_id,drug_text
1312,DB04871,"For the potential treatment of various leukemias, including chronic myeloid leukemia (CML).Nilotinib, also known as AMN107, is a tyrosine kinase inhibitor under investigation as a possible treatment for chronic myelogenous leukemia (CML). A Phase I clinical trial in 2006 showed that this drug was relatively safe and offered significant therapeutic benefits in cases of CML which were found to be resistant to treatment with imatinib (Gleevec), another tyrosine kinase inhibitor used as a first-line treatment for CML.Nilotinib is a transduction inhibitor that targets BCR-ABL, c-kit and PDGF, for the potential treatment of various leukemias, including chronic myeloid leukemia (CML).Chronic myelogenous leukaemia (CML) is caused by the BCR-ABL oncogene. Nilotinib inhibits the tyrosine kinase activity of the BCR-ABL protein. Nilotinib fits into the ATP-binding site of the BCR-ABL protein with higher affinity than imatinib, over-riding resistance caused by mutations. The ability of AMN107 to inhibit TEL-platelet-derived growth factor receptor-beta (TEL-PDGFRbeta), which causes chronic myelomonocytic leukaemia, and FIP1-like-1-PDGFRalpha, which causes hypereosinophilic syndrome, suggests potential use of AMN107 for myeloproliferative diseases characterised by these kinase fusions (Stover et al, 2005; Weisberg et al, 2005)."
1313,DB04876,"By inhibiting DPP-4, vildagliptin prevents the degradation of glucagon-like peptide 1 (GLP-1) and glucose-dependent insulinotropic polypeptide (GIP), which are incretin hormones that promote insulin secretion and regulate blood glucose levels. Vildagliptin is currently under investigation in the US.Vildagliptin works to improve glycemic control in type II diabetes mellitus by enhancing the glucose sensitivity of beta-cells (β-cells) in pancreatic islets and promoting glucose-dependent insulin secretion. Vildagliptin causes an increase in the insulin to glucagon ratio by increasing incretin hormone levels: this results in a decrease in fasting and postprandial hepatic glucose production. It also has no effects on insulin secretion or blood glucose levels in individuals with normal glycemic control. It enhances the glucose sensitivity of alpha- and beta-cells and augments glucose-dependent insulin secretion."
1314,DB04880,"It is used in patients with congestive heart failure. Trials were halted in the U.S., but the drug is used in various countries.Enoximone is a phosphodiesterase inhibitor (type III) that increases the force of contraction of the heart and dilates blood vessels. In June 2005, Myogen announced that they were discontinuing development of enoximone due to negative results. The drug is approved for use in the UK.Further research is required to determine accurately the mechanism of action of drugs with phosphodiesterase inhibitory activity, however, inhibition of PDE3 inhibits degredation of cGMP. This allows for increased NO release and vascular relaxation."
1315,DB04890,"For the symptomatic treatment of itchy eyes (caused by IgE-induced mast cell degranulation) due to allergic conjunctivitis.Bepotastine is a non-sedating, selective antagonist of the histamine 1 (H1) receptor. Bepotastine was approved in Japan for use in the treatment of allergic rhinitis and uriticaria/puritus in July 2000 and January 2002, respectively, and is marketed by Tanabe Seiyaku Co., Ltd. under the brand name Talion. The opthalmic solution is FDA approved since Sept 8, 2009 and is under the brand name Bepreve.Bepotastine is a non-sedating, selective antagonist of the histamine 1 (H1) receptor. Bepotastine works to relieve itchy eyes by three primary mechanisms of action. It is a non-sedating, selective antagonist of the histamine 1 (H1) receptor, a mast cell stabilizer, and it suppresses the migration of eosinophils into inflamed tissues to prevent tissue damage and worsening of allergic inflammation of the conjunctiva."
1316,DB04895,"Pegatinib aids neovascular age-related macular degeneration by binding to VEGF which in order reduces angiogenesis and vessel permeability. VEGF is a secreted protein that selectively binds and activates its receptors located primarily on the surface of vascular endothelial cells. VEGF induces angiogenesis, and increases vascular permeability and inflammation, all of which are thought to contribute to the progression of the neovascular (wet) form of age-related macular degeneration (AMD), a leading cause of blindness. VEGF-A, in patients with wet AMD, also increases vascular permeability and inflammation in the eye, leading to progression of the condition. Pegaptanib is a pegylated oligonucleotide that selectively binds VEGF165, the isoform most responsible for VEGF-A's pathological action in wet AMD."
1317,DB04896,"Nevertheless, it is important to note that the regulatory approval of and/or indications listed here for milnacipran may or may not exist and/or vary greatly between regions and nations .Milnacipran is a selective serotonin and norepinephrine reuptake inhibitor (SNRI) and like many agents in this category was originally developed for and continues to be approved and indicated for the treatment of depression . Levomilnacipran has no significant affinity for Ca++, K+, Na+, and Cl– channels and does not inhibit the activity of human monoamine oxidases (MAO-A and MAO-B) or acetylcholinesterase . Alternatively, a supratherapeutic dose of 300 mg/day is capable of causing a maximum mean difference in heart rate from placebo of 22.1 bpm and a mean difference in systolic and diastolic blood pressure from placebo ranging from 5.4 to 7.9 mmHg and 7.9 to 10.6 mmHg, respectively .The dual ability for milnacipran to inhibit the reuptake of both serotonin (5HT) and norepinephrine (NE) facilitates its treatment of both fibromyalgia and major depressive disorder (MDD). In particular, it is generally believed that 5HT and NE participate in the modulation of endogenous analgesic mechanisms by way of the descending inhibitory pain pathways in the brain and spinal cord . Such NE pain mitigation is consequently also enhanced by milnacipran's ability to enhance the presence of NE by inhibiting its reuptake via norepinephrine transporters at synaptic clefts ."
1318,DB04897,"It contains sinapultide, a novel, hydrophobic, 21-amino acid peptide (leucine and lysine repeating units, KL4 peptide) designed to mimic human surfactant protein-B (SB-P). More specifically, it mimics the C-terminal amphipathic helical domain of this protein. FDA approved on March 6, 2012.Lucinactant is a new synthetic surfactant containing a protein that mimics human surfactant protein-B, is effective at preventing respiratory distress syndrome (RDS) and related complications in preterm infants. Lucinactant has proven safe and effective in the prevention of RDS in preterm infants and as a treatment for MAS in full-term infants and for adult ARDS.Pulmonary surfactant is a lipoprotein complex that is produced naturally in the lungs, where it lines the alveolar epithelium and serves to reduce surface tension, which facilitates alveoli expansion and allows gas exchange. Human surfactants contain phospholipids, predominantly dipalmitoylphosphatidylcholine (DPPC), in addition to surfactant proteins A, B, C and D. Surfactant is also a physical barrier to inhaled particle and noxious agents, enhances particle clearance, is involved in host defense against infection and possesses antiinflammatory properties."
1319,DB04898,"For the treatment of acute deep vein thrombosis.Ximelagatran is an anticoagulant intended to become a replacement for warfarin by overcoming the dietary restrictions, drug interaction, and monitoring issues associated with the former. In 2006, its manufacturer AstraZeneca announced that it would not attempt to market ximelagatran after reports of hepatotoxicity (liver damage) during trials, and to discontinue its distribution in countries where the drug had been approved.Ximelagatran was the first member of the drug class of direct thrombin inhibitors that can be taken orally. Its effect is solely related to the inhibition of thrombin."
1320,DB04899,"For the intravenous treatment of patients with acutely decompensated congestive heart failure who have dyspnea at rest or with minimal activity.Nesiritide is a medication used to treat acutely decompensated congestive heart failure with dyspnea at rest or with minimal exertion (such as talk, eating or bathing). Nesiritide is a 32 amino acid recombinant human B-type natriuretic peptide.Nesiritide works by facilitating cardiovascular homeostasis through the negative regulation of the renin-angiotensin-aldosterone system. This regulation will in order stimulate cyclic guanosine monophosphate and smooth muscle cell relaxation. In simpler terms, it promotes vasodilation, natriuresis, and diuresis.Human BNP binds to the particulate guanylate cyclase receptor of vascular smooth muscle and endothelial cells, leading to increased intracellular concentrations of guanosine 3'5'-cyclic monophosphate (cGMP) and smooth muscle cell relaxation. The effect of nesiritide on vascular permeability has not been studied."
1321,DB04908,"Flibanserin is the first drug to be approved for hypoactive sexual desire disorder (HSDD) in premenopausal women by the FDA in August 2015. It was originally developed as an antidepressant medication by Boehringer Ingelheim, but showed lack of efficacy in trials and was further developed as a hypoactive sexual disorder drug by Sprout Pharmaceuticals. Flibanserin's mechanism of action is attributed to its high affinity for 5-HTA1 and 5-HTA2 receptors, displaying agonist activity on 5-HTA1 and antagonist on 5-HTA2, resulting in lowering of serotonin in the brain as well as an effect on increasing norepinephrine and dopamine neurotransmitters.Flibansetrin has high affinity for serotonin receptors in the brain: it acts as an agonist on 5-HT1A and an antagonist on 5-HT2A. In vivo, flibanserin binds equally to 5-HT1A and 5-HT2A receptors. Its action on neurotransmitter receptors may contribute to reduction in serotonin levels and increase in dopamine and norepinephrine levels, all of which may play part in reward processing."
1322,DB04911,"It is used for confirmed/suspected infections with designated and susceptible gram-positive organisms. Oritavancin was initially approved by the FDA in 2014 and formulated to combat susceptible gram-positive bacteria that cause skin and skin structure infections. On March 12, 2021 the FDA approved Kimyrsa, a complete course of therapy in a single, 1 hour 1200 mg infusion. Marketed by Melinta Therapeutics, Kimyrsa offers effective and time-efficient treatment for skin and skin structure infections.Oritavancin interferes with bacterial cell wall synthesis and integrity, treating susceptible skin and subcutaneous tissue infections with gram-positive bacteria. Finally, this drug also acts by disrupting the bacterial cell membrane, interfering with its integrity, which eventually leads to cell death by various mechanisms."
1323,DB04918,"It was discovered by Basilea Pharmaceutica and is being developed by Johnson & Johnson Pharmaceutical Research and Development. Ceftobiprole is the first cephalosporin to demonstrate clinical efficacy in patients with infections due to methicillin-resistant staphylococci and, if approved by regulatory authorities, is expected to be a useful addition to the armamentarium of agents for the treatment of complicated skin infections and pneumonia.Ceftobiprole, a cephalosporin antibiotic, is active against methicillin-resistant Staphylococcus aureus.Cephalosporins, such as ceftobiprole, are bactericidal and have the same mode of action as other beta-lactam antibiotics (such as penicillins). Cephalosporins disrupt the synthesis of the peptidoglycan layer of bacterial cell walls. The peptidoglycan layer is important for cell wall structural integrity, especially in Gram-positive organisms. The final transpeptidation step in the synthesis of the peptidoglycan is facilitated by transpeptidases known as penicillin binding proteins (PBPs)."
1324,DB04920,"For the reduction of blood pressure when when oral antihypertensive therapy is not feasible or not desirable.Clevidipine is a dihydropyridine L-type calcium channel blocker that is selective for vascular smooth muscle and is indicated for blood pressure reduction when oral therapy is not an option.Clevidipine belongs to a well-known class of drugs called dihydropyridine calcium channel antagonists. Clevidpine is the first third generation intravenous dihydropyridine calcium channel blocker. In vitro studies demonstrated that clevidipine acts by selectively relaxing the smooth muscle cells that line small arteries, resulting in arterial dilation, widening of the artery opening, and without reducing central venous pressure or reducing cardiac output.Possibly by deforming the channel, inhibiting ion-control gating mechanisms, and/or interfering with the release of calcium from the sarcoplasmic reticulum, clevidipine inhibits the influx of extracellular calcium across both the myocardial and vascular smooth muscle cell membranes. The resultant inhibition of the contractile processes of the myocardial smooth muscle cells leads to dilation of the coronary and systemic arteries and improved oxygen delivery to the myocardial tissue."
1325,DB04930,"For the treatment of infestation with Sarcoptes scabiei (scabies).A pyrethroid insecticide commonly used in the treatment of lice infestations and scabies. It is a yellow to light orange-brown, low melt-ing solid or viscous liquid.Permethrin, a pyrethroid, is active against a broad range of pests including lice, ticks, fleas, mites, and other arthropods.Permethrin acts on the nerve cell membrane to disrupt the sodium channel current by which the polarization of the membrane is regulated. Delayed repolarization and paralysis of the pests are the consequences of this disturbance."
1326,DB04932,"Indicated for the treatment of severe hepatic veno-occlusive disease (VOD), also known as sinusoidal obstruction syndrome (SOS), with renal or pulmonary dysfunction following hematopoietic stem-cell transplantation (HSCT).Defibrotide is the sodium salt of a mixture of single-stranded oligodeoxyribonucleotides derived from porcine mucosal DNA. It has been shown to have antithrombotic, anti-inflammatory and anti-ischemic properties (but without associated significant systemic anticoagulant effects). It is marketed under the brand names Dasovas (FM), Noravid, and Prociclide in a variety of countries. In the USA it is was approved in March, 2016 as Defitelio.Defibrotide is a deoxyribonucleic acid derivative extracted from mammalian organs, which has been developed for the treatment of a number of vascular disorders. It appears to increase fibrinolysis and may possess antithrombotic, antiatherosclerotic and anti-ischaemic actions, probably due to its ability to selectively increase prostaglandin I2 and E2 levels and to increase tissue plasminogen activator and decrease plasminogen activator inhibitor function."
1327,DB04938,"Ospemifene is indicated for the treatment of moderate to severe dyspareunia and vaginal dryness associated with menopause.Ospemifene is a new selective non-hormonal estrogen receptor modulator (SERM) that is used for the treatment of moderate to severe dyspareunia, a symptom of vulvar and vaginal atrophy, due to menopause. FDA approved on February 26, 2013.The half maximal inhibitory concentration (IC50) for estrogen receptor (ER) alpha and beta are 0.8 μM and 1.7 μM, respectively. It interacts with osteoblasts and osteoclasts in such a way that it reduces bone turnover. It also has potential uses in the prevention of breast cancer. Studies suggest that ospemifene, in a dose-dependent manner, reduces the incidence of tumours."
1328,DB04946,"Iloperidone is an atypical antipsychotic for the treatment of schizophrenia symptoms. Hoechst Marion Roussel Inc. researched the drug until May 1996. In June 1997 they gave the research rights to Titan Pharmaceuticals, who gave the worldwide development, manufacturing, and marketing rights to Novartis in August 1998. FDA approved on May 9, 2009.Iloperidone shows high affinity and maximal receptor occupancy for dopamine D2 receptors in the caudate nucleus and putamen of the brains of schizophrenic patients. Iloperidone also binds with high affinity to serotonin 5-HT2a and dopamine 3 receptors."
1329,DB04948,"Lofexidine is indicated for mitigation of symptoms associated with acute withdrawal from opioids and for facilitation of the completion of opioid discontinuation treatment. These symptoms are often observed after abrupt reductions in the opioid dose and can be resolved by re-administration of the opioid.Lofexidine is a non-opioid centrally acting alpha2-adrenergic receptor agonist that was first approved for the treatment of opioid withdrawal in the United Kingdom in 1992. Lofexidine was developed by US Woldmeds LLC and it was approved by the FDA on May 16, 2018.In clinical trials, lofexidine presented more severe opioid withdrawal effects than observed with methadone. Therefore, chronic opioid use translates into an exacerbated production of cAMP and norepinephrine release. This effect is performed without interacting with opioid receptors which mediate other activities of opioid dependence or addiction."
1330,DB04951,"In Canada and Europe, it is approved in adults only.Pirfenidone is a synthetic pyridone drug. It is an antifibrotic agent with anti-inflammatory and antioxidant properties  that is used to treat idiopathic pulmonary fibrosis (IPF), which is a chronic, progressive form of interstitial pneumonia. It may improve lung function and reduce the number of acute exacerbations in patients with idiopathic pulmonary fibrosis (IPF).The exact mechanism of action of pirfenidone is not fully understood. Pirfenidone attenuates the production of transforming growth factor-β1 (TGF-β1), a key profibrotic and pro-inflammatory cytokine implicated in idiopathic pulmonary fibrosis (IPF). By suppressing TGF-β1, pirfenidone inhibits TGF-β1-induced differentiation of human lung fibroblasts into myofibroblasts, thereby preventing excess collagen synthesis and extracellular matrix production."
1331,DB04953,"It is a neuronal potassium channel opener being developed as a first-in-class antiepileptic drug (AED) and is currently being studied in Phase 3 trials as an adjunctive treatment for partial-onset seizures in adult patients with refractory epilepsy. Ezogabine is highly efficacious in a broad-spectrum of in vivo epilepsy and seizure models. A comparison of antiepileptic form activity of ezogabine with that of conventional anticonvulsants in in vitro models suggests that retigabine is especially likely to be useful in the treatment of pharmacoresistant epilepsy. Thus, retigabine may prove to be useful in the treatment of a diverse range of disease states in which neuronal hyperexcitability is a common underlying factor.Ezogabine has a novel mechanism of action that involves opening of neuronal Kv7.2-7.5 (formerly KCNQ2-5) voltage activated potassium channels. In addition to acting on potassium ion channels, retigabine also affects GABA neurotransmission in the GABA-A receptor, which is a key inhibitory receptor in the central nervous system and is implicated in epilepsy."
1332,DB05015,"Belinostat is indicated for the treatment of patients with relapsed or refractory peripheral T-cell lymphoma (PTCL) with manageable safety profile. It is a potential alternative therapy for patients who did not experience adequate response to first-line drugs for PTCL. Belinostat is a novel agent that inhibits the enzyme histone deacetylase (HDAC) with a sulfonamide-hydroxamide structure. It was developed as an orphan drug to target hematological malignancies and solid tumors by TopoTarget. It was US-approved in July 2014 as a therapeutic agent for relapsed or refractory peripheral T-cell lymphoma.Beleodaq is a histone deacetylase (HDAC) inhibitor that exhibits pan-HDAC inhibition and potent growth inhibitory and pro-apoptotic activities in a variety of tumor cells, including PTCL cells, at nanomolar concentrations ."
1333,DB05016,"Ataluren is approved for use by the European Medicines Agency to treat Duchenne Muscular Dystrophy in patients aged 5 years and older who are able to walk. More specifically, ataluren is used in the small group of patients whose disease is caused by a specific genetic defect (called a ‘nonsense mutation’) in the dystrophin gene.Ataluren is a novel, orally administered drug that targets nonsense mutations. Ataluren is approved for use by the European Medicines Agency to treat Duchenne Muscular Dystrophy in patients aged 5 years and older who are able to walk. This drug does not yet have approval by the US Food and Drug Administration or by Health Canada for any indications.Ataluren enables ribosomal readthrough of mRNA containing premature stop codons that otherwise would result in premature termination of protein chains. The research on the effects of Ataluren on the translation and stability of nonsense-containing mRNA in vitor show that Ataluren promoted readthrough at each of the nonsense codons, showing maximal activity with UGA, while having no effect on mRNA levels."
1334,DB05018,"Migalastat is approved by the FDA for the treatment of adults with a confirmed diagnosis of Fabry disease and an amenable galactosidase alpha gene (GLA) variant based on in vitro assay data. Migalastat (approved and sold under Amicus Therapeutics' brand name Galafold) is subsequently an oral pharmacological chaperone of alpha-Gal A for the treatment of Fabry disease in adults who have amenable GLA variants. Given the rarity of Fabry disease and the proportion of Fabry disease patients that could benefit from migalastat therapy, Amicus Therapeutics' brand name Galafold was approved using the Accelerated Approval pathway, under which the FDA may approve drugs for serious conditions where there is an unmet medical need and where a drug is shown to have certain effects that are reasonably likely to predict a clinical benefit to patients. The in vitro assay did not evaluate the trafficking of the mutant alpha-Gal A proteins into the lysosome or the dissociation of migalastat from the mutant alpha-Gal A proteins within the lysosome. Fabry disease-causing mutations occur in the galactosidase alpha (GLA) gene and result in a deficiency of the lysosomal enzyme alpha-galactosidase A (alpha-Gal A) that is required for glycosphingolipid substrate (GL-3 and lyso-Gb3) metabolism ."
1335,DB05039,"Indacaterol is a novel, ultra-long-acting, rapid onset β(2)-adrenoceptor agonist developed for Novartis for the once-daily management of asthma and chronic obstructive pulmonary disease. Indacaterol is also a chiral molecule but only the pure R-enantiomer is dispensed.Bronchodilator drugs are the foundation for the treatment of chronic obstructive pulmonary disease. Otherwise, the drug's safety profile was similar to that of other bronchodilators. Indacaterol works by stimulating adrenergic beta-2 receptors in the smooth muscle of the airways. In vitro studies have shown that indacaterol has more than 24-fold greater agonist activity at beta2-receptors compared to beta1-receptors and 20-fold greater agonist activity compared to beta3-receptors."
1336,DB05084,"Abaloparatide is also indicated to increase bone density in men with osteoporosis at high risk for fracture (defined as a history of osteoporotic fracture or multiple risk factors for fracture) or patients who have failed or are intolerant to other available osteoporosis therapy.Abaloparatide is an N-terminal analog of parathyroid hormone-related protein (PTHrP)  and an agonist at the parathyroid hormone type 1 (PTH1) receptor. It was first approved by the FDA on April 28, 2017, for the treatment of osteoporosis in postmenopausal women and is also used to increase bone density in men with osteoporosis. In rats and monkeys, abaloparatide exerted anabolic effects, increasing bone mineral density and mineral content correlating with increases in bone strength at vertebral and nonvertebral sites.Abaloparatide is an agonist at the PTH1 receptor (PTH1R), a G-protein-coupled receptor (GPCR) that regulates bone formation and bone turnover, as well as mineral ion homeostasis. The R0 conformation is a G protein–independent high-affinity conformation, and upon binding, the ligand induces a longer-lasting signalling response that gradually increases cAMP. Abaloparatide binds to the RG conformation with greater selectivity: it induces more transient signalling responses and favours net bone formation over bone resorption."
1337,DB05087,"It was approved under the brand name ZTALMY by the US FDA in March 2022 for the treatment of seizures associated with CDKL5 deficiency disorder (CDD), becoming the first FDA-approved treatment indicated specifically for CDD. In July 2023, ganaxolone was also approved under the same brand name and for the same indication by the EMA.Ganaxolone - like other neurosteroids - lacks classical hormonal activity, and instead appears to exert its effects directly via modulation of GABAA receptors. In addition, antiepileptic drugs may increase the risk of suicidal behaviour and ideation, although this risk has not been documented directly in patients taking ganaxolone. By enhancing the inhibitory effects of GABAA receptors, endogenous and exogenous neurosteroids have been associated with anxiolytic, sedative, and anticonvulsant effects, amongst others. While the precise mechanism of action of ganaxolone in the treatment of seizures associated with CDD is unknown, its anticonvulsant effects are likely due to positive allosteric GABAA modulation"
1338,DB05099,"In January 2005, the U.S. FDA granted a 'fast-track status' for investigation of ancrod use in patients suffering from acute ischemic stroke, a life threatening condition caused by the blockage of blood vessels supplying blood and oxygen to portions of the brain, for which phase III trials are currently being conducted.The decreased viscosity is directly attributable to lowered fibrinogen levels and leads to important improvements in blood flow and perfusion of the microcirculation. Ancrod decreases the blood viscosity in affected arteries, leads to less intense pain, improves physical limb mobility, facilitates physical and ergo therapy, and decreases the likelihood of local thrombotic events.Ancrod's anticoagulant effects are through the rapid removal of fibrinogen from the blood within hours following ancrod administration. These ancrod-induced microthrombi are friable, unstable, urea-soluble and have significantly degraded a-chains. They do not cross-link to form thrombi. Ancrod does not activate Factor XIII, produce platelet aggregation, or release ADP, ATP, potassium, or serotonin from platelets."
1339,DB05109,"Approved for orphan drug status by the U.S. FDA for treatment of soft tissue sarcomas and ovarian cancer. It is approved for use in Europe, Russia and South Korea for the treatment of advanced soft tissue sarcoma. On October 23, 2015, the FDA approved trabectedin, (as Yondelis), for the treatment of specific soft tissue sarcomas.Two of the rings in the drug's structure allows it to covalently bind to the minor groove of DNA. This has the additive effect of blocking cell division at the G2 phase.Trabectedin interacts with the minor groove of DNA and alkylates guanine at the N2 position, which bends towards the major groove. The agent is also thought to interfere with the nucleotide excision repair pathways of cancer cells, suggesting that it could be effective in the treatment of many cancer types including melanoma and sarcoma, as well as lung, breast, ovarian, endometrial and prostate cancers; clinical evaluations are underway in these indications."
1340,DB05154,"Unlike other therapeutic regimens for the treatment of resistant TB, which may take 18 months or longer and may not be effective, the pretomanid-containing regimen allows for a more efficacious and shorter duration of treatment with fewer drugs.Pretomanid kills the actively replicating bacteria causing tuberculosis, known as Mycobacterium tuberculosis, and shortens the duration of treatment in patients who suffer from resistant forms of pulmonary TB by killing dormant bacteria. A decrease in the frequency of TB relapses at 2 and 3 months after treatment was observed after the administration of this regimen, when compared to the administration of a 2-drug regimen. Caution must be observed during the administration of this drug.Pretomanid is a prodrug which is metabolically activated by a nitroreductase enzyme, known as Ddn, producing various active metabolites that are responsible for its other therapeutic actions, particularly the induction of nitric oxide. The formation of this derivative leads to increased levels of nitric oxide, leading to bactericidal activities under anaerobic conditions via its action as a bacterial respiratory poison. The molecular mechanism of the above bactericidal effects is poorly understood at this time, but may involve effects exerted on various genes that affect the cell wall, including the fasI and fasII as well as the efpA and iniBAC operons."
1341,DB05219,"This non-steroidal agent is efficacious in improving disease severity, reducing the risk of infection and reducing the signs and symptoms in patients 2 years old and older. It reduces the local inflammation in the skin and prevents further exacerbation of the disease with a good safety profile. Its structure contains a boron atom, which facilitates skin penetration and binding to the bimetal center of the phosphodiesterase 4 enzyme. It is currently under development as topical treatment of psoriasis.Crisaborole has broad-spectrum anti-inflammatory activity by mainly targeting phosphodiesterase 4 (PDE4) enzyme that is a key regulator of inflammatory cytokine production. As this enzyme is expressed in keratinocytes and immune cells, crisaborole mediates an anti-inflammatory effect on almost all inflammatory cells."
1342,DB05239,"Cobimetinib is indicated in combination with  for the treatment of unresectable or metastatic melanoma with a BRAF V600E or V600K mutation. It has been approved in Switzerland and the US, in combination with vemurafenib for the treatment of patients with unresectable or metastatic BRAF V600 mutation-positive melanoma.Cobimetinib is a reversible inhibitor of mitogen-activated protein kinase 1 (MAPK)/extracellular signal-regulated kinase 1 (MEK1) and MEK2. BRAF-inhibitor-resistant tumor cells are sensitive to MEK inhibition, therefore cobimetinib and vemurafenib will result in dual inhibition of BRAF and its downstream target, MEK.Cobimetinib is a reversible inhibitor of mitogen-activated protein kinase (MAPK)/extracellular signal-regulated kinase 1 (MEK1) and MEK2. In mice implanted with tumor cell lines expressing BRAF V600E, cobimetinib inhibited tumor cell growth. Cobimetinib and vemurafenib target two different kinases in the RAS/RAF/MEK/ERK pathway."
1343,DB05245,"Indicated as an adjunct for the prevention and treatment of wound sepsis in patients with second- and third-degree burns.Silver sulfadiazine is a sulfa derivative topical antibacterial used primarily on second- and third-degree burns.Silver sulfadiazine has broad antimicrobial activity. Silver sulfadiazine is not a carbonic anhydrase inhibitor and may be useful in situations where such agents are contraindicated.Studies utilizing radioactive micronized silver sulfadiazine, electron microscopy, and biochemical techniques have revealed that the mechanism of action of silver sulfadiazine on bacteria differs from silver nitrate and sodium sulfadiazine. A specific mechanism of action has not been determined, but silver sulfadiazine's effectiveness may possibly be from a synergistic interaction, or the action of each component. Silver ions bind to nucleophilic amino acids, as well as sulfhydryl, amino, imidazole, phosphate, and carboxyl groups in proteins, causing protein denaturation and enzyme inhibition. Silver binds to surface membranes and proteins, causing proton leaks in the membrane, leading to cell death."
1344,DB05246,"For the control of absence (petit mal) seizures that are refractory to other drugs.Mesuximide (or methsuximide) is an anticonvulsant medication. It is sold by Pfizer under the name Petinutin.Used in the treatment of epilepsy. Methsuximide suppresses the paroxysmal three cycle per second spike and wave activity associated with lapses of consciousness which is common in absence (petit mal) seizures. The frequency of epileptiform attacks is reduced, apparently by depression of the motor cortex and elevation of the threshold of the central nervous system to convulsive stimuli.Binds to T-type voltage sensitive calcium channels. Voltage-sensitive calcium channels (VSCC) mediate the entry of calcium ions into excitable cells and are also involved in a variety of calcium-dependent processes, including muscle contraction, hormone or neurotransmitter release, gene expression, cell motility, cell division and cell death."
1345,DB05259,"However, the opposite was observed. Along with , , and , glatiramer acetate is a first-line drug for patients with MS. This drug is indicated for the treatment of relapsing multiple sclerosis (MS) due to its ability to modify immune processes involved in the pathogenesis of this disease. Also, it has been suggested that the myelin basic protein (MBP), a myelin autoantigen, plays a role in the development of MS.    Several mechanisms of action have been proposed. It has also been suggested that glatiramer acetate induces the production of T-regulatory cells associated with the suppression of MS, such as CD4+, CD8+ and CD4+CD25+ cells."
1346,DB05260,"It was previously used in the treatment of cancer-related hypercalcemia.Gallium nitrate is a nitrate salt of , a heavy metal that has been used as a diagnostic agent. Gallium nitrate is reported to possess antiresorptive and hypocalcemic effects on bone. Although _in vitro_ and animal studies have been performed to investigate the mechanism of action of gallium nitrate, the precise mechanism for inhibiting calcium resorption has not been determined. Gallium, the active component that exerts the physiological effects of gallium nitrate, may induce physicochemical changes in the bone matrix to promote hydroxyapatite crystallization and attenuate mineral dissolution. Gallium may also decrease acid secretion by osteoclasts  and modulate the synthesis of osteocalcin, an osteoblast-specific bone matrix protein that triggers bone resorption."
1347,DB05271,"For use/treatment in neurologic disorders and parkinson's disease as well as moderate-to-severe primary Restless Legs Syndrome.Rotigotine (Neupro) is a non-ergoline dopamine agonist indicated for the treatment of Parkinson's disease (PD) and restless legs syndrome (RLS) in Europe and the United States. Rotigotine was developed by Aderis Pharmaceuticals. Rotigotine has been authorized as a treatment for RLS since August 2008.Rotigotine is an agonist at all 5 dopamine receptor subtypes (D1-D5) but binds to the D3 receptor with the highest affinity. It is also an antagonist at α-2-adrenergic receptors and an agonist at the 5HT1A receptors. The effects of Neupro at doses up to 24 mg/24 hours (supratherapeutic doses) on the QT/QTc interval was evaluated in a double-blind, randomized, placebo- and positive-controlled (moxifloxacin 400 mg IV, single dose) parallel-group trial with an overall treatment period of 52 days in male and female patients with advanced-stage Parkinson's disease."
1348,DB05276,"Therefore, the hepatitis-B vaccines are cancer-preventing vaccines. According to the Centers for Disease Control and Prevention (CDC), the hepatitis B vaccine was the first anti-cancer vaccine. It is extracted from the Cohn fraction II. During the process, viruses are deactivated, and in the final steps, solvents used in the preparation are removed. The preparation is tested for absence of HIV, HCV, herpes virus, and reovirus.In countries with high rates of hepatitis B infection, vaccination of newborns has not only reduced the risk of infection, but has also led to marked reduction in liver cancer."
1349,DB05294,"Vandetanib is currently approved as an alternative to local therapies for both unresectable and disseminated disease. Because Vandetanib can prolong the Q-T interval, it is contraindicated for use in patients with serious cardiac complications such as congenital long QT syndrome and uncompensated heart failure. Vandetanib is an oral once-daily kinase inhibitor of tumour angiogenesis and tumour cell proliferation with the potential for use in a broad range of tumour types. On April 6 2011, vandetanib was approved by the FDA to treat nonresectable, locally advanced, or metastatic medullary thyroid cancer in adult patients.Mean IC50 of approximately 2.1 μg/mL.ZD-6474 is a potent and selective inhibitor of VEGFR (vascular endothelial growth factor receptor), EGFR (epidermal growth factor receptor) and RET (REarranged during Transfection) tyrosine kinases. VEGFR- and EGFR-dependent signalling are both clinically validated pathways in cancer, including non-small-cell lung cancer (NSCLC)."
